time,speed,lateralAcceleration,elapsedDistance,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
0.29,62.67460811,-15.37244552,5,-7.574718207,1,3.2,2620.682742,120,44.16317065,702.4174578,273.5795242,0,0,28.26594821,-19.7167482,1,64.99035416,1.3,1.8,-10.31991828,-8.442927882,-1.206436057,-4.810982103,1.855899453,0,3253.017458
0.3,62.67460811,-15.37244552,5,-7.574718207,1,3.2,2620.682742,120,44.16317065,702.4174578,273.5795242,0,0,28.26594821,-19.7167482,1,64.99035416,1.3,1.8,-10.31991828,-8.442927882,-1.206436057,-4.810982103,1.855899453,0,3253.017458
0.31,62.28055111,-15.55957291,5.25,-6.104433,1,3.2,2604.205601,120,43.88550148,693.6125405,270.1501603,0,0,21.81650086,-19.23544422,1,63.96145776,1.3,1.8,-11.06107212,-8.718113991,-1.983962507,-5.039914225,1.972656141,0,3244.212541
0.32,61.96134625,-15.79572375,5.5,-1.212984905,1,3.2,2590.858335,120,43.66057628,686.5208526,267.3880697,0,0,0,-18.75414024,1,62.9307622,1.3,1.8,-11.82040144,-8.739709108,-0.155531111,-5.267288397,2.092349333,0,3237.120853
0.33,61.96134625,-15.79572375,5.5,-1.212984905,1,3.2,2590.858335,120,43.66057628,686.5208526,267.3880697,0,0,0,-18.75414024,1,62.9307622,1.3,1.8,-11.82040144,-8.739709108,-0.155531111,-5.267288397,2.092349333,0,3237.120853
0.34,61.8978534,-16.17857297,5.75,0,1,3.2,2588.203438,120,43.61583654,685.1145942,266.8403563,0,16.67222481,0,-18.27283626,1,61.8978534,1.3,1.8,-12.62364006,-8.818415825,-0.566856969,-5.493029357,2.215030583,0,3235.714594
0.35,61.83436055,-15.48621676,6,-1.212984905,1,3.2,2585.548541,120,43.57109681,683.7097776,266.2932043,100,85.92252071,0,-19.05063308,1,63.56592619,1.8,1.3,-13.39110798,-8.582834177,1.696692542,-5.717258554,2.340993718,0,3234.309778
0.36,61.83436055,-15.48621676,6,-1.212984905,1,3.2,2585.548541,120,43.57109681,683.7097776,266.2932043,100,85.92252071,0,-19.05063308,1,63.56592619,1.8,1.3,-13.39110798,-8.582834177,1.696692542,-5.717258554,2.340993718,0,3234.309778
0.37,61.93988522,-15.04794869,6.25,2.01390439,1,3.2,2589.960961,120,43.64545393,686.045366,267.2028759,47.85543276,85.8744313,0,-19.67245176,1,64.895725,1.8,1.3,-14.13414406,-8.397488811,1.333514417,-5.93997406,2.470061191,0,3236.645366
0.38,61.66534672,-14.45785651,6.5,-12.78770132,1,3.2,2578.481379,120,43.45200254,679.9772742,264.8394584,33.34024766,0,52.13229189,-20.29427045,1,66.22312199,1.3,1.8,-14.85427441,-7.81613054,4.12534178,-6.161186624,2.602119149,0,3230.577274
0.39,61.66534672,-14.45785651,6.5,-12.78770132,1,3.2,2578.481379,120,43.45200254,679.9772742,264.8394584,33.34024766,0,52.13229189,-20.29427045,1,66.22312199,1.3,1.8,-14.85427441,-7.81613054,4.12534178,-6.161186624,2.602119149,0,3230.577274
0.4,60.98597491,-13.72064274,6.75,-16.24592264,1,3.2,2550.074054,120,42.97328852,665.0770844,259.0360907,22.78939206,0,68.20088536,-20.91608913,1,67.54893849,1.3,1.8,-15.58205067,-7.347604434,3.276942599,-6.380907637,2.737060974,0,3215.677084
0.41,60.11030493,-11.68949078,7,-17.94400673,1,3.2,2513.458696,120,42.35625455,646.115121,251.6507319,14.45278771,0,76.52296973,-23.85048792,1,73.80703789,1.3,1.8,-16.21386034,-6.578633889,5.290318508,-6.599532604,2.875184364,0,3196.715121
0.42,60.11030493,-11.68949078,7,-17.94400673,1,3.2,2513.458696,120,42.35625455,646.115121,251.6507319,14.45278771,0,76.52296973,-23.85048792,1,73.80703789,1.3,1.8,-16.21386034,-6.578633889,5.290318508,-6.599532604,2.875184364,0,3196.715121
0.43,59.12702217,-10.222061,7.25,-19.01776045,1,3.2,2472.343606,120,41.66339206,625.1497428,243.4850775,0,0,82.13931653,-26.38934094,1,79.26397122,1.3,1.8,-16.78351066,-5.874506644,4.757273143,-6.817167092,3.016063485,0,3175.749743
0.44,58.06585562,-8.993222481,7.5,-19.71683722,1,3.2,2427.971874,120,40.91564938,602.9116871,234.8237371,0,0,86.1359847,-28.92819396,1,84.80567879,1.3,1.8,-17.30226202,-5.204899702,4.43663888,-7.033926932,3.159454457,0,3153.511687
0.45,58.06585562,-8.993222481,7.5,-19.71683722,1,3.2,2427.971874,120,40.91564938,602.9116871,234.8237371,0,0,86.1359847,-28.92819396,1,84.80567879,1.3,1.8,-17.30226202,-5.204899702,4.43663888,-7.033926932,3.159454457,0,3153.511687
0.46,56.94400705,-7.951243595,7.75,-20.17297645,1,3.2,2381.062779,120,40.1251476,579.8398931,225.83767,0,0,89.08243139,-31.46704698,1,90.47334273,1.3,1.8,-17.77857827,-4.837903162,2.381578887,-7.249908623,3.3051589,0,3130.439893
0.47,55.7720867,-7.057883942,8,-19.98743608,1,3.2,2332.059976,120,39.29936312,556.2190133,216.6377434,0,0,89.06026945,-34.0059,1,96.30839998,1.3,1.8,-18.20098294,-4.464773042,2.369874611,-7.465193821,3.453012468,0,3106.819013
0.48,55.7720867,-7.057883942,8,-19.98743608,1,3.2,2332.059976,120,39.29936312,556.2190133,216.6377434,0,0,89.06026945,-34.0059,1,96.30839998,1.3,1.8,-18.20098294,-4.464773042,2.369874611,-7.465193821,3.453012468,0,3106.819013
0.49,54.58570853,-7.011393012,8.25,-19.98272964,1,3.2,2282.452633,120,38.46339105,532.8070301,207.5191784,0,0,89.89159954,-32.79054166,1,93.49156635,1.3,1.8,-18.64507595,-4.3451595,0.742822827,-7.679187791,3.602312865,0,3083.40703
0.5,54.58570853,-7.011393012,8.25,-19.98272964,1,3.2,2282.452633,120,38.46339105,532.8070301,207.5191784,0,0,89.89159954,-32.79054166,1,93.49156635,1.3,1.8,-18.64507595,-4.3451595,0.742822827,-7.679187791,3.602312865,0,3083.40703
0.51,53.372652,-6.703227716,8.5,-19.9698038,1,3.2,2231.729758,120,37.60862029,509.3890537,198.3982792,0,0,90.69655477,-32.79054166,1,93.49156635,1.3,1.8,-19.08909502,-5.583744632,-7.512981993,-7.892054156,3.753292951,0,3059.989054
0.52,53.372652,-6.703227716,8.5,-19.9698038,1,3.2,2231.729758,120,37.60862029,509.3890537,198.3982792,0,0,90.69655477,-32.79054166,1,93.49156635,1.3,1.8,-19.08909502,-5.583744632,-7.512981993,-7.892054156,3.753292951,0,3059.989054
0.53,52.13151869,-6.395097374,8.75,-19.94870083,1,3.2,2179.832878,120,36.73406545,485.9737334,189.2784145,0,0,91.47440046,-32.79054166,1,93.49156635,1.3,1.8,-19.53304052,-2.659267358,17.30680315,-8.103779755,3.905943818,0,3036.573733
0.54,50.8607189,-6.087113459,9,-21.05746036,1,3.2,2126.69552,120,35.83860635,462.5695405,180.1628837,0,0,97.77685706,-32.79054166,1,93.49156635,1.3,1.8,-20.41913031,-2.903655914,-1.407062589,-8.314351502,4.060256453,0,3013.169541
0.55,50.8607189,-6.087113459,9,-21.05746036,1,3.2,2126.69552,120,35.83860635,462.5695405,180.1628837,0,0,97.77685706,-32.79054166,1,93.49156635,1.3,1.8,-20.41913031,-2.903655914,-1.407062589,-8.314351502,4.060256453,0,3013.169541
0.56,49.48190847,3.133173429,9.25,-20.56542436,1,3.2,2069.041794,120,34.8670384,437.8294052,170.5270263,0,0,96.35984056,60.29807489,1,119.5768704,1.3,1.8,-20.21846141,0.279232079,17.81234893,-8.505459223,4.204900506,0,2988.429405
0.57,49.48190847,3.133173429,9.25,-20.56542436,1,3.2,2069.041794,120,34.8670384,437.8294052,170.5270263,0,0,96.35984056,60.29807489,1,119.5768704,1.3,1.8,-20.21846141,0.279232079,17.81234893,-8.505459223,4.204900506,0,2988.429405
0.58,48.09652833,3.96252737,9.5,-19.55005832,1,3.2,2011.113361,120,33.89084117,413.6561656,161.1119651,0,0,92.30192737,45.0453725,1,119.5768704,1.3,1.8,-19.97956741,3.260171953,16.21215379,-8.699869543,4.350976088,0,2964.256166
