time,speed,engineSpeed,power
2.22,59.62448844,2493.144713,42.01392777
2.23,59.8987988,2504.614756,42.20721841
2.24,60.17135959,2516.011642,42.39927623
2.25,60.17135959,2516.011642,42.39927623
2.26,60.44219552,2527.336404,42.59011864
2.27,60.71133073,2538.590052,42.77976266
2.28,60.71133073,2538.590052,42.77976266
2.29,60.97878877,2549.773572,42.96822487
2.3,61.24459264,2560.887923,43.15552148
2.31,61.24459264,2560.887923,43.15552148
2.32,61.5087648,2571.934046,43.34166831
2.33,61.77132718,2582.912857,43.52668084
2.34,61.77132718,2582.912857,43.52668084
2.35,62.03230122,2593.825254,43.71057415
2.36,62.29170787,2604.672111,43.89336301
2.37,62.29170787,2604.672111,43.89336301
2.38,62.5495676,2615.454285,44.07506184
2.39,62.80590044,2626.172613,44.25568476
2.4,62.80590044,2626.172613,44.25568476
2.41,63.06072595,2636.827915,44.43524556
2.42,63.31406329,2647.420989,44.61375772
2.43,63.56593118,2657.95262,44.79123446
2.44,63.56593118,2657.95262,44.79123446
2.45,63.81634797,2668.423574,44.96768868
2.46,64.06533158,2678.834602,45.14313303
2.47,64.06533158,2678.834602,45.14313303
2.48,64.31289958,2689.186436,45.31757988
2.49,64.55906917,2699.479798,45.49104135
2.5,64.80385717,2709.715389,45.66352929
2.51,64.80385717,2709.715389,45.66352929
2.52,65.04728009,2719.893901,45.83505534
2.53,65.28935406,2730.016008,46.00563086
2.54,65.28935406,2730.016008,46.00563086
2.55,65.53009493,2740.082372,46.17526703
2.56,65.76951821,2750.093643,46.34397476
2.57,66.00763908,2760.050454,46.51176476
2.58,66.00763908,2760.050454,46.51176476
2.59,66.24447247,2769.953431,46.67864755
2.6,66.48003297,2779.803183,46.84463341
2.61,66.71433493,2789.60031,47.00973245
2.62,66.71433493,2789.60031,47.00973245
2.63,66.94739239,2799.345399,47.17395455
2.64,67.17921913,2809.039027,47.33730945
2.65,67.40982869,2818.68176,47.49980666
2.66,67.40982869,2818.68176,47.49980666
2.67,67.63923433,2828.274152,47.66145555
2.68,67.86744908,2837.816748,47.82226528
2.69,68.09448572,2847.310082,47.98224486
2.7,68.09448572,2847.310082,47.98224486
2.71,68.3203568,2856.754679,48.14140315
2.72,68.54507464,2866.151055,48.29974881
2.73,68.76865134,2875.499715,48.45729038
2.74,68.76865134,2875.499715,48.45729038
2.75,68.99109878,2884.801156,48.61403622
2.76,69.21242864,2894.055866,48.76999457
2.77,69.43265237,2903.264325,48.9251735
2.78,69.43265237,2903.264325,48.9251735
2.79,69.65178126,2912.427003,49.07958094
2.8,69.86982635,2921.544364,49.23322471
2.81,70.08679854,2930.616862,49.38611245
2.82,70.30270851,2939.644945,49.53825172
2.83,70.30270851,2939.644945,49.53825172
2.84,70.51756677,2948.629051,49.68964991
2.85,70.73138366,2957.569613,49.8403143
2.86,70.94416934,2966.467056,49.99025206
2.87,70.94416934,2966.467056,49.99025206
2.88,71.1559338,2975.321798,50.13947022
2.89,71.36668686,2984.134249,50.28797571
2.9,71.57643819,2992.904814,50.43577534
2.91,71.7851973,3001.633889,50.58287581
2.92,71.7851973,3001.633889,50.58287581
2.93,71.99297354,3010.321867,50.72928371
2.94,72.19977611,3018.969132,50.87500552
2.95,72.40561408,3027.576063,51.02004763
2.96,72.61049635,3036.143032,51.16441631
2.97,72.61049635,3036.143032,51.16441631
2.98,72.81443171,3044.670406,51.30811776
2.99,73.01742878,3053.158548,51.45115805
3,73.21949607,3061.607811,51.59354318
3.01,73.42064194,3070.018546,51.73527904
3.02,73.62087465,3078.391098,51.87637145
3.03,73.62087465,3078.391098,51.87637145
3.04,73.82020231,3086.725806,52.01682612
3.05,74.01863292,3095.023004,52.15664869
3.06,74.21617434,3103.283022,52.2958447
3.07,74.41283434,3111.506185,52.43441963
3.08,74.41283434,3111.506185,52.43441963
3.09,74.60862057,3119.692811,52.57237885
3.1,74.80354054,3127.843215,52.70972768
3.11,74.99760168,3135.957708,52.84647134
3.12,75.1908113,3144.036596,52.98261498
3.13,75.3831766,3152.080179,53.11816369
3.14,75.3831766,3152.080179,53.11816369
3.15,75.5747047,3160.088756,53.25312246
3.16,75.76540259,3168.062617,53.38749623
3.17,75.95527717,3176.002053,53.52128986
3.18,76.14433524,3183.907348,53.65450815
3.19,76.33258352,3191.778781,53.78715582
3.2,76.52002862,3199.616631,53.91923754
3.21,76.52002862,3199.616631,53.91923754
3.22,76.70667707,3207.421169,54.0507579
3.23,76.89253529,3215.192664,54.18172144
3.24,77.07760964,3222.931383,54.31213262
3.25,77.26190637,3230.637586,54.44199587
3.26,77.44543166,3238.311532,54.57131553
3.27,77.62819161,3245.953476,54.70009589
3.28,77.62819161,3245.953476,54.70009589
3.29,77.81019221,3253.563669,54.82834119
3.3,77.99143941,3261.142358,54.9560556
3.31,78.17193906,3268.68979,55.08324326
3.32,78.35169692,3276.206204,55.20990823
3.33,78.53071871,3283.69184,55.33605453
3.34,78.70901005,3291.146933,55.46168612
3.35,78.70901005,3291.146933,55.46168612
3.36,78.88657648,3298.571715,55.58680691
3.37,79.0634235,3305.966415,55.71142077
3.38,79.23955651,3313.33126,55.83553152
3.39,79.41498086,3320.666472,55.95914291
3.4,79.58970183,3327.972273,56.08225867
3.41,79.76372461,3335.248881,56.20488246
3.42,79.93705437,3342.496509,56.32701791
